date,electricity_consumption_GWh,consumption_ema_3,consumption_lag_12,consumption_ma_3,consumption_lag_1,consumption_ema_6,year_normalized,consumption_ema_12,consumption_ma_12,temp_anomaly,consumption_ma_6,fossil_renewables_ratio,renewables_kWh,renewables_normalized,sustainability_score,consumption_lag_3,consumption_scaled
2005-04-01,1780.69,0.2376748451871069,0.20329083203535336,0.24413786429405115,0.23605682183528776,0.21686615961202083,0.21739130434782608,0.19435511655817028,0.17866807146722852,0.17595720720720676,0.2045005386502129,0.8519220194518102,0.019361346699763107,0.019361346699763107,0.016191791887112714,0.21531972858182313,0.24994077533546555
2005-05-01,1713.91,0.23086504037546784,0.21347846560654904,0.24227717139488925,0.24994077533546555,0.21922964432166558,0.21739130434782608,0.19947310009299113,0.18077087230834898,0.17736486486486552,0.2179210948608722,0.8600970693524201,0.01846168701753816,0.01846168701753816,0.015376494242389663,0.22705890315921284,0.2216906103524714
2005-06-01,1712.12,0.2270680797740151,0.20400170246676574,0.2370352666553276,0.2216906103524714,0.2206854856768865,0.21739130434782608,0.20367225688961121,0.1836392734557094,0.17595720720720676,0.2317776655693884,0.8488409254509592,0.01870980868992535,0.018709808689925347,0.015813105629716023,0.23605682183528776,0.220933380713065
2005-07-01,1619.24,0.20482637868535936,0.1615668127648785,0.21336238497134907,0.220933380713065,0.20966851013664012,0.21739130434782608,0.20040495400953695,0.18654127461650982,0.17595720720720676,0.2258135566047207,0.8466869792629856,0.01751048516218697,0.01751048516218697,0.015018824214879585,0.24994077533546555,0.18164204612755308
2005-08-01,1642.84,0.19887456356948896,0.16307911037055822,0.2029416249758066,0.18164204612755308,0.20486278569692418,0.21739130434782608,0.19937332645164185,0.19025367610147037,0.17595720720720676,0.21953854383144367,0.862048962641581,0.017776648317647296,0.017776648317647296,0.014856073376994435,0.2216906103524714,0.19162563243481057
2005-09-01,1575.38,0.18112309965546292,0.15745100880211538,0.18289188919713084,0.19162563243481057,0.1926730633077658,0.21739130434782608,0.19354663625120316,0.19176487670595055,0.1756756756756755,0.20661618288036265,0.8523125414734725,0.01914337686478073,0.019143376864780733,0.01603166271743394,0.220933380713065,0.16308780479550578
2005-10-01,1584.62,0.1742711764848459,0.14708226174520955,0.17781567263535114,0.16308780479550578,0.18516557402978684,0.21739130434782608,0.18929487871027273,0.19456167782467126,0.17595720720720798,0.1919272889637389,0.831119649741288,0.018916644417968153,0.01891664441796815,0.016390113617737415,0.18164204612755308,0.16699663265478792
2005-11-01,1593.99,0.1728974971861751,0.15616963089071612,0.17065295804716685,0.16699663265478792,0.18101941242723263,0.21739130434782608,0.1863853027565454,0.1969304787721915,0.1756756756756755,0.1829432926436413,0.8526600984108856,0.018849566928022074,0.018849566928022074,0.015819637323893986,0.19162563243481057,0.17096045484542366
2005-12-01,1603.89,0.17437902409369266,0.15272394682508061,0.1748332854352761,0.17096045484542366,0.17934299908866425,0.21739130434782608,0.1846503382824627,0.199999679999872,0.17595720720720676,0.17483507114827634,0.8560836218891237,0.0186364139104251,0.0186364139104251,0.015590956186631215,0.16308780479550578,0.1751484846946546
2006-01-01,1731.7,0.20311361882334789,0.23046238272901798,0.1963991413540097,0.1751484846946546,0.1947367276634998,0.2608695652173913,0.19256773358358303,0.20131368052547205,0.466497747747747,0.18326018977868141,0.8442379749186661,0.015630970307813043,0.015630970307813043,0.01372144307910121,0.16699663265478792,0.22921637308154397
